label,studies,theme or group,sub-theme
Geopolitical power,7,Aid and donor politics,"Donors, geopolitics and foreign policy"
Chinese aid,5,Aid and donor politics,"Donors, geopolitics and foreign policy"
donor-recipient relationship,5,Aid and donor politics,"Donors, geopolitics and foreign policy"
japan foreign aid,5,Aid and donor politics,"Donors, geopolitics and foreign policy"
African-Caribbean-Pacific (ACP) group,4,Aid and donor politics,"Donors, geopolitics and foreign policy"
Development Assistance Committee (DAC),4,Aid and donor politics,"Donors, geopolitics and foreign policy"
donor priority,4,Aid and donor politics,"Donors, geopolitics and foreign policy"
Korea International Cooperation Agency,4,Aid and donor politics,"Donors, geopolitics and foreign policy"
donor competition,3,Aid and donor politics,"Donors, geopolitics and foreign policy"
USAID,3,Aid and donor politics,"Donors, geopolitics and foreign policy"
ACP-EU relations,2,Aid and donor politics,"Donors, geopolitics and foreign policy"
Asian Development Bank (ADB),2,Aid and donor politics,"Donors, geopolitics and foreign policy"
EU aid,2,Aid and donor politics,"Donors, geopolitics and foreign policy"
Organisation of Economic Cooperation and Development (OECD),2,Aid and donor politics,"Donors, geopolitics and foreign policy"
2050 Strategy for the Blue Pacific,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Antigua and Barbuda Agenda for SIDS,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Arab league,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Canadian International Development Agency (CIDA),1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Chequebook diplomacy,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Comoros green revolution,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Cotonou Partnership Agreement,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
donor officials,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
foreign aid and the soft power of sport,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
france aid,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Geopolitical changes,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
germany aid,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
human security,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Indo-Pacific Economic Framework for Prosperity (IPEF),1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Islamic aid,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Islamic alternative to Western multilateral development cooperation,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Isolationist and militarisation policies,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Korea Institute of Ocean Science and Technology,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Look North Policy,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
multilateral development banks,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Organisation for Islamic Cooperation (OIC),1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Sino-Fiji cooperation,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
South-south and triangular cooperations,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
strategic instrument of deterrence,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Trump,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
UK foreign aid,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
United Nations (UN),1,Aid and donor politics,"Donors, geopolitics and foreign policy"
world bank,1,Aid and donor politics,"Donors, geopolitics and foreign policy"
Aid-dependence,13,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
Aid-dependent economies,9,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
alternative development strategies,8,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
Self-reliance,7,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
alternative development policies,4,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
MIRAB,3,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
recipeint perspectives on aid,2,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
"TOURAB states (aid, tourism and bureaucracy dependent)",2,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
Advantages of political dependence,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
autonomy,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
external hinterland,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
free association,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
impact of aid on self-reliance,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
inverse sovereignty effect,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
localisation against dependence,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
ownership of development by recipient agencies,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
Political dependence,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
procedural and jurisdictional powers,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
proximity,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
sustained growth because of foreign aid,1,Aid and donor politics,"Aid dependence, sovereignty and self-reliance"
Remittance,110,Remittances and diaspora,"Remittance flows, motives and behaviour"
Altruism,6,Remittances and diaspora,"Remittance flows, motives and behaviour"
remitting behaviour,6,Remittances and diaspora,"Remittance flows, motives and behaviour"
remittance economies,3,Remittances and diaspora,"Remittance flows, motives and behaviour"
altruistic remittance,2,Remittances and diaspora,"Remittance flows, motives and behaviour"
development impact of remittances,2,Remittances and diaspora,"Remittance flows, motives and behaviour"
Permanent income hypothesis,2,Remittances and diaspora,"Remittance flows, motives and behaviour"
shift from an agricultural-based economy to an economy based on remittances,2,Remittances and diaspora,"Remittance flows, motives and behaviour"
Allotment,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
altruism data from the World Giving Index,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
Bidirectional remittances,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
dynamic heterogeneous impact of Remittances,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
effects of remittances in emerging market economies,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
financial transfers,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
impacts of financial crisis on remittance inflows,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
impacts of remittance on diaspora savings and bons,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
International Day of Family Remittances (IDFR),1,Remittances and diaspora,"Remittance flows, motives and behaviour"
relationship between crude oil price and remittance inflows,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
remittance and trust,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
remittance fatigue,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
Reverse flows,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
unrecorded inflows of remittances,1,Remittances and diaspora,"Remittance flows, motives and behaviour"
migrant households,9,Remittances and diaspora,Diaspora and transnational ties
Diaspora,4,Remittances and diaspora,Diaspora and transnational ties
Migrant's perspectives,2,Remittances and diaspora,Diaspora and transnational ties
altruistic diaspora,1,Remittances and diaspora,Diaspora and transnational ties
random selection of emigrants,1,Remittances and diaspora,Diaspora and transnational ties
transnational migrant,1,Remittances and diaspora,Diaspora and transnational ties
financial inclusion,2,Remittances and diaspora,"Transfer channels, costs and financial access"
money transfer organisations (MTOs),2,Remittances and diaspora,"Transfer channels, costs and financial access"
bank de-risking,1,Remittances and diaspora,"Transfer channels, costs and financial access"
cost-elasticity of remittances,1,Remittances and diaspora,"Transfer channels, costs and financial access"
digital financial instruments,1,Remittances and diaspora,"Transfer channels, costs and financial access"
High transfer fees,1,Remittances and diaspora,"Transfer channels, costs and financial access"
Islamic banking,1,Remittances and diaspora,"Transfer channels, costs and financial access"
Islamisation of microfinance,1,Remittances and diaspora,"Transfer channels, costs and financial access"
limited access to financial institutions,1,Remittances and diaspora,"Transfer channels, costs and financial access"
lower cost of sending money,1,Remittances and diaspora,"Transfer channels, costs and financial access"
microfinance institutions (MFIs),1,Remittances and diaspora,"Transfer channels, costs and financial access"
microfinance institutions (MFIs) in the remittance market,1,Remittances and diaspora,"Transfer channels, costs and financial access"
reduced transaction cost of remittances,1,Remittances and diaspora,"Transfer channels, costs and financial access"
remittance channel infrastructure,1,Remittances and diaspora,"Transfer channels, costs and financial access"
remittance transfers,1,Remittances and diaspora,"Transfer channels, costs and financial access"
rise of mobile money,1,Remittances and diaspora,"Transfer channels, costs and financial access"
safe interest-earning savings instruments,1,Remittances and diaspora,"Transfer channels, costs and financial access"
secure remittance delivery,1,Remittances and diaspora,"Transfer channels, costs and financial access"
Labour migration,18,Migration and labour mobility,Migration and mobility schemes
Migration,18,Migration and labour mobility,Migration and mobility schemes
Labour mobility,4,Migration and labour mobility,Migration and mobility schemes
Australia Seasonal Worker Programme,2,Migration and labour mobility,Migration and mobility schemes
Circular labour migration,2,Migration and labour mobility,Migration and mobility schemes
return migration,2,Migration and labour mobility,Migration and mobility schemes
Argonaut strategy,1,Migration and labour mobility,Migration and mobility schemes
Australia's Seasonal Worker Programme (SWP),1,Migration and labour mobility,Migration and mobility schemes
Canada Seasonal Agricultural Worker Program,1,Migration and labour mobility,Migration and mobility schemes
education and migration,1,Migration and labour mobility,Migration and mobility schemes
Inter-Pacific Islands migration (IPIM),1,Migration and labour mobility,Migration and mobility schemes
low-skilled migration,1,Migration and labour mobility,Migration and mobility schemes
migration and development,1,Migration and labour mobility,Migration and mobility schemes
Mobility,1,Migration and labour mobility,Migration and mobility schemes
Pacific Access Category (PAC),1,Migration and labour mobility,Migration and mobility schemes
Pacific Australia Labour Mobility (PALM) scheme,1,Migration and labour mobility,Migration and mobility schemes
pacific island seasonal workers,1,Migration and labour mobility,Migration and mobility schemes
Pacific Labour Scheme,1,Migration and labour mobility,Migration and mobility schemes
Pacific Seasonal Worker Pilot Scheme,1,Migration and labour mobility,Migration and mobility schemes
Temporary farm labour migration schemes,1,Migration and labour mobility,Migration and mobility schemes
brain drain,8,Migration and labour mobility,"Brain drain, skills and knowledge"
Skill drain,5,Migration and labour mobility,"Brain drain, skills and knowledge"
Highly skilled migrant workers,3,Migration and labour mobility,"Brain drain, skills and knowledge"
remittance and brain drain,3,Migration and labour mobility,"Brain drain, skills and knowledge"
knowledge transfer,2,Migration and labour mobility,"Brain drain, skills and knowledge"
specialised labour force,2,Migration and labour mobility,"Brain drain, skills and knowledge"
Carrington and Detragiache (2004) brain drain literature,1,Migration and labour mobility,"Brain drain, skills and knowledge"
Docquier and Marfouk (2004) - brain drain literature,1,Migration and labour mobility,"Brain drain, skills and knowledge"
health workers,1,Migration and labour mobility,"Brain drain, skills and knowledge"
Transfer of skills,1,Migration and labour mobility,"Brain drain, skills and knowledge"
labour shortages,7,Migration and labour mobility,Labour markets and labour supply
Agricultural labour shortages,5,Migration and labour mobility,Labour markets and labour supply
impact of remittances on labour market outcomes,3,Migration and labour mobility,Labour markets and labour supply
Labour market,3,Migration and labour mobility,Labour markets and labour supply
labour supply,3,Migration and labour mobility,Labour markets and labour supply
labour participation behaviour,2,Migration and labour mobility,Labour markets and labour supply
women labour supply,2,Migration and labour mobility,Labour markets and labour supply
FDI and ODA on labour productivity,1,Migration and labour mobility,Labour markets and labour supply
household labour supply,1,Migration and labour mobility,Labour markets and labour supply
impact of aging on migrant worker supply,1,Migration and labour mobility,Labour markets and labour supply
labour force participation,1,Migration and labour mobility,Labour markets and labour supply
participation decision,1,Migration and labour mobility,Labour markets and labour supply
relationship between remittances and aggregate labor supply,1,Migration and labour mobility,Labour markets and labour supply
"remittances, economic volatility and household labour supply",1,Migration and labour mobility,Labour markets and labour supply
Unemployment,1,Migration and labour mobility,Labour markets and labour supply
unskilled labour,1,Migration and labour mobility,Labour markets and labour supply
migration policy,6,Migration and labour mobility,Migration policy and drivers
trade and migration policies,2,Migration and labour mobility,Migration policy and drivers
Global welfare impact of migration,1,Migration and labour mobility,Migration policy and drivers
migrant-sending countries,1,Migration and labour mobility,Migration policy and drivers
Migration economics,1,Migration and labour mobility,Migration policy and drivers
migration policies,1,Migration and labour mobility,Migration policy and drivers
migration policy interaction with aid,1,Migration and labour mobility,Migration policy and drivers
relationship between remittances and migration intentions,1,Migration and labour mobility,Migration policy and drivers
Restrictive migration policies,1,Migration and labour mobility,Migration policy and drivers
Special and Differential Treatment,1,Migration and labour mobility,Migration policy and drivers
Livelihood outcome,14,Livelihoods and wellbeing,Livelihood strategies and household economy
Livelihood studies,11,Livelihoods and wellbeing,Livelihood strategies and household economy
Household income,8,Livelihoods and wellbeing,Livelihood strategies and household economy
household consumption,7,Livelihoods and wellbeing,Livelihood strategies and household economy
Household needs,7,Livelihoods and wellbeing,Livelihood strategies and household economy
remittance use on consumption rather than investment,7,Livelihoods and wellbeing,Livelihood strategies and household economy
remittance and consumption,5,Livelihoods and wellbeing,Livelihood strategies and household economy
Household survival strategy,3,Livelihoods and wellbeing,Livelihood strategies and household economy
causality between remittances and household income or consumption,2,Livelihoods and wellbeing,Livelihood strategies and household economy
income smoothing via remittances,2,Livelihoods and wellbeing,Livelihood strategies and household economy
livelihood challenges,2,Livelihoods and wellbeing,Livelihood strategies and household economy
livelihood indicators,2,Livelihoods and wellbeing,Livelihood strategies and household economy
resilient livelihoods,2,Livelihoods and wellbeing,Livelihood strategies and household economy
alcohol,1,Livelihoods and wellbeing,Livelihood strategies and household economy
consumption smoothing,1,Livelihoods and wellbeing,Livelihood strategies and household economy
donations,1,Livelihoods and wellbeing,Livelihood strategies and household economy
effects of foreign aid and remittances on income smoothing,1,Livelihoods and wellbeing,Livelihood strategies and household economy
gambling,1,Livelihoods and wellbeing,Livelihood strategies and household economy
home production,1,Livelihoods and wellbeing,Livelihood strategies and household economy
household income diversification,1,Livelihoods and wellbeing,Livelihood strategies and household economy
household strategies,1,Livelihoods and wellbeing,Livelihood strategies and household economy
income smoothing,1,Livelihoods and wellbeing,Livelihood strategies and household economy
informal insurance from remittance,1,Livelihoods and wellbeing,Livelihood strategies and household economy
link between worker's remittances and fertility,1,Livelihoods and wellbeing,Livelihood strategies and household economy
low-income households,1,Livelihoods and wellbeing,Livelihood strategies and household economy
luxury expenditures,1,Livelihoods and wellbeing,Livelihood strategies and household economy
moral hazard concerns,1,Livelihoods and wellbeing,Livelihood strategies and household economy
remittance as social insurance mechanism,1,Livelihoods and wellbeing,Livelihood strategies and household economy
remittance as substitute income,1,Livelihoods and wellbeing,Livelihood strategies and household economy
remittance on consumption purposes rather than productivity improving spending,1,Livelihoods and wellbeing,Livelihood strategies and household economy
resilient island livelihoods,1,Livelihoods and wellbeing,Livelihood strategies and household economy
risk coping strategies,1,Livelihoods and wellbeing,Livelihood strategies and household economy
Sustainable livelihood approach (SLA),1,Livelihoods and wellbeing,Livelihood strategies and household economy
welfare gain from risk sharing,1,Livelihoods and wellbeing,Livelihood strategies and household economy
Food security,16,Livelihoods and wellbeing,Food security and food systems
Remittance-food security dynamics,6,Livelihoods and wellbeing,Food security and food systems
imported food,4,Livelihoods and wellbeing,Food security and food systems
Domestic agriculture,3,Livelihoods and wellbeing,Food security and food systems
Food,3,Livelihoods and wellbeing,Food security and food systems
food systems,3,Livelihoods and wellbeing,Food security and food systems
imported food dependency,3,Livelihoods and wellbeing,Food security and food systems
migration-food security nexus,3,Livelihoods and wellbeing,Food security and food systems
food sovereignty,2,Livelihoods and wellbeing,Food security and food systems
import-depedent,2,Livelihoods and wellbeing,Food security and food systems
Pacific food systems,2,Livelihoods and wellbeing,Food security and food systems
local perception on food security,1,Livelihoods and wellbeing,Food security and food systems
"production, processing and storage challenges",1,Livelihoods and wellbeing,Food security and food systems
sustainable food security,1,Livelihoods and wellbeing,Food security and food systems
Education,16,Livelihoods and wellbeing,Health and education
health,11,Livelihoods and wellbeing,Health and education
human capital,6,Livelihoods and wellbeing,Health and education
Child health,2,Livelihoods and wellbeing,Health and education
education and development,2,Livelihoods and wellbeing,Health and education
Non-communicable diseases,2,Livelihoods and wellbeing,Health and education
Distance education,1,Livelihoods and wellbeing,Health and education
early childhood development,1,Livelihoods and wellbeing,Health and education
human capital investments,1,Livelihoods and wellbeing,Health and education
human resource development,1,Livelihoods and wellbeing,Health and education
impact of remittances on educational outcomes,1,Livelihoods and wellbeing,Health and education
remittance and health,1,Livelihoods and wellbeing,Health and education
remittances have on government expenditures on human capital,1,Livelihoods and wellbeing,Health and education
telemedicine,1,Livelihoods and wellbeing,Health and education
Welfare,10,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
wellbeing,8,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Recipient welfare,3,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
remittance and welfare development,3,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
collective wellbeing,2,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
community wellbeing,2,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Institutionalised social welfare system,2,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
consumer welfare,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
informal social protection,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Lived experience,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
living standards,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
material well-being,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
outsourcing welfare,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Perceived needs,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Social policy,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Social protection,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Subjective assessment,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Subjective well-being,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
transnational safety net,1,Livelihoods and wellbeing,"Wellbeing, welfare and social protection"
Poverty alleviation,11,Livelihoods and wellbeing,Poverty and inequality
poverty reduction,10,Livelihoods and wellbeing,Poverty and inequality
remittances on poverty and inequality,8,Livelihoods and wellbeing,Poverty and inequality
relationship of remittance on poverty reduction,6,Livelihoods and wellbeing,Poverty and inequality
Income distribution,4,Livelihoods and wellbeing,Poverty and inequality
measures of poverty,3,Livelihoods and wellbeing,Poverty and inequality
measures of inequality,2,Livelihoods and wellbeing,Poverty and inequality
income to measure poverty,1,Livelihoods and wellbeing,Poverty and inequality
Poverty Reduction Strategy Papers (PRSPs),1,Livelihoods and wellbeing,Poverty and inequality
Socioeconomic inequality,1,Livelihoods and wellbeing,Poverty and inequality
urban poverty,1,Livelihoods and wellbeing,Poverty and inequality
Economic growth,20,"Economy, growth and finance",Growth and macroeconomy
Macro-economics,7,"Economy, growth and finance",Growth and macroeconomy
Dutch Disease,4,"Economy, growth and finance",Growth and macroeconomy
debt sustainability,3,"Economy, growth and finance",Growth and macroeconomy
economic adjustment to globalisation,3,"Economy, growth and finance",Growth and macroeconomy
External economic shocks.,3,"Economy, growth and finance",Growth and macroeconomy
Globalisation,3,"Economy, growth and finance",Growth and macroeconomy
macroeconomic indices failing to recognise local meaures of development,3,"Economy, growth and finance",Growth and macroeconomy
oil price,3,"Economy, growth and finance",Growth and macroeconomy
relationship of remittance on GDP growth,3,"Economy, growth and finance",Growth and macroeconomy
economic development,2,"Economy, growth and finance",Growth and macroeconomy
exchange rate,2,"Economy, growth and finance",Growth and macroeconomy
global financial crisis,2,"Economy, growth and finance",Growth and macroeconomy
income growth,2,"Economy, growth and finance",Growth and macroeconomy
link between remittances and economic volatility,2,"Economy, growth and finance",Growth and macroeconomy
socio-economic development,2,"Economy, growth and finance",Growth and macroeconomy
austerity,1,"Economy, growth and finance",Growth and macroeconomy
capital formation,1,"Economy, growth and finance",Growth and macroeconomy
changes per capita GDP,1,"Economy, growth and finance",Growth and macroeconomy
current account sustainability,1,"Economy, growth and finance",Growth and macroeconomy
development potential,1,"Economy, growth and finance",Growth and macroeconomy
domestic demand (spending),1,"Economy, growth and finance",Growth and macroeconomy
domestic informal sector,1,"Economy, growth and finance",Growth and macroeconomy
economic austerity,1,"Economy, growth and finance",Growth and macroeconomy
Economic complexity,1,"Economy, growth and finance",Growth and macroeconomy
economic crowding,1,"Economy, growth and finance",Growth and macroeconomy
Economic diversification strategies,1,"Economy, growth and finance",Growth and macroeconomy
economic openness,1,"Economy, growth and finance",Growth and macroeconomy
Economic Partnership Agreements (EPA),1,"Economy, growth and finance",Growth and macroeconomy
economic volatility,1,"Economy, growth and finance",Growth and macroeconomy
Effects of remittances on growth of GDP per capita,1,"Economy, growth and finance",Growth and macroeconomy
Feldstein-Horioka puzzle,1,"Economy, growth and finance",Growth and macroeconomy
Government debt,1,"Economy, growth and finance",Growth and macroeconomy
government expenditures,1,"Economy, growth and finance",Growth and macroeconomy
impact of workers' remittances on sovereign ratings,1,"Economy, growth and finance",Growth and macroeconomy
inclusive growth,1,"Economy, growth and finance",Growth and macroeconomy
informal economy,1,"Economy, growth and finance",Growth and macroeconomy
Integration in global economy,1,"Economy, growth and finance",Growth and macroeconomy
island income,1,"Economy, growth and finance",Growth and macroeconomy
limited resources,1,"Economy, growth and finance",Growth and macroeconomy
net import (absorption),1,"Economy, growth and finance",Growth and macroeconomy
Productive capital,1,"Economy, growth and finance",Growth and macroeconomy
real exchange rate,1,"Economy, growth and finance",Growth and macroeconomy
relationship of remittance inflows with various macro-economic indicators,1,"Economy, growth and finance",Growth and macroeconomy
relationship of remittance on trade deficit,1,"Economy, growth and finance",Growth and macroeconomy
remittance growth nexus,1,"Economy, growth and finance",Growth and macroeconomy
remittance positively correlate with macroeconomic performance and stability,1,"Economy, growth and finance",Growth and macroeconomy
socioeconomic development,1,"Economy, growth and finance",Growth and macroeconomy
Solow framework within modern growth paradigm,1,"Economy, growth and finance",Growth and macroeconomy
sovereign ratings,1,"Economy, growth and finance",Growth and macroeconomy
structural weakness,1,"Economy, growth and finance",Growth and macroeconomy
sustainability index,1,"Economy, growth and finance",Growth and macroeconomy
trade deficit,1,"Economy, growth and finance",Growth and macroeconomy
volatile markets,1,"Economy, growth and finance",Growth and macroeconomy
wealth creation,1,"Economy, growth and finance",Growth and macroeconomy
Foreign Direct Investment (FDI),12,"Economy, growth and finance",Trade and investment
trade,5,"Economy, growth and finance",Trade and investment
Volatility of remittances and FDI,3,"Economy, growth and finance",Trade and investment
Chinese trade,2,"Economy, growth and finance",Trade and investment
international trade,2,"Economy, growth and finance",Trade and investment
investment,2,"Economy, growth and finance",Trade and investment
investment flows,2,"Economy, growth and finance",Trade and investment
ACP-EU trade ties,1,"Economy, growth and finance",Trade and investment
capital mobility,1,"Economy, growth and finance",Trade and investment
economic and cultural impacts of foreign investment,1,"Economy, growth and finance",Trade and investment
export growth,1,"Economy, growth and finance",Trade and investment
human capital primary determinant of FDI inflow,1,"Economy, growth and finance",Trade and investment
impact of trade and migration policies on natural resource use,1,"Economy, growth and finance",Trade and investment
informal international trade,1,"Economy, growth and finance",Trade and investment
interrelation between trade and development,1,"Economy, growth and finance",Trade and investment
intraregional trade,1,"Economy, growth and finance",Trade and investment
investment of remittance,1,"Economy, growth and finance",Trade and investment
loan aid-capital investment,1,"Economy, growth and finance",Trade and investment
promoting private investment from remittance for economic growth,1,"Economy, growth and finance",Trade and investment
